No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	9	CPG1511F01S03	SW1,SW2,SW3,SW4,SW5,SW8,SW9,SW12,SW13	KEY-TH_CPG1511F01S0X		CPG1511F01S03	Kailh(凯华)	C400227	LCSC
2	1	KB2040	U1	KB2040_SMD					
